sequence_id,start_frame,end_frame,start_time,end_time,duration
172,42912,42927,715.916 sec,716.166 sec,0.250 sec
173,42927,43052,716.166 sec,718.252 sec,2.085 sec
174,43052,43167,718.252 sec,720.170 sec,1.919 sec
175,43167,43230,720.170 sec,721.221 sec,1.051 sec
176,43230,43582,721.221 sec,727.094 sec,5.873 sec
177,43582,43660,727.094 sec,728.395 sec,1.301 sec
178,43660,43752,728.395 sec,729.930 sec,1.535 sec
179,43752,43790,729.930 sec,730.564 sec,0.634 sec
180,43790,43862,730.564 sec,731.765 sec,1.201 sec
181,43862,43897,731.765 sec,732.349 sec,0.584 sec
182,43897,43952,732.349 sec,733.267 sec,0.918 sec
183,43952,43980,733.267 sec,733.734 sec,0.467 sec
184,43980,44062,733.734 sec,735.102 sec,1.368 sec
185,44062,44620,735.102 sec,744.411 sec,9.309 sec
186,44620,44647,744.411 sec,744.862 sec,0.450 sec
187,44647,45130,744.862 sec,752.920 sec,8.058 sec
188,45130,45202,752.920 sec,754.121 sec,1.201 sec
189,45202,45450,754.121 sec,758.258 sec,4.137 sec
190,45450,45687,758.258 sec,762.212 sec,3.954 sec
191,45687,45792,762.212 sec,763.964 sec,1.752 sec
192,45792,45820,763.964 sec,764.431 sec,0.467 sec
193,45820,46002,764.431 sec,767.467 sec,3.036 sec
194,46002,46050,767.467 sec,768.268 sec,0.801 sec
195,46050,46140,768.268 sec,769.770 sec,1.502 sec
196,46140,46195,769.770 sec,770.687 sec,0.918 sec
197,46195,46237,770.687 sec,771.388 sec,0.701 sec
198,46237,46267,771.388 sec,771.889 sec,0.501 sec
199,46267,46297,771.889 sec,772.389 sec,0.501 sec
200,46297,46325,772.389 sec,772.856 sec,0.467 sec
201,46325,46400,772.856 sec,774.107 sec,1.251 sec
202,46400,46425,774.107 sec,774.525 sec,0.417 sec
203,46425,46450,774.525 sec,774.942 sec,0.417 sec
204,46450,46485,774.942 sec,775.526 sec,0.584 sec
205,46485,46515,775.526 sec,776.026 sec,0.501 sec
206,46515,46610,776.026 sec,777.611 sec,1.585 sec
207,46610,46730,777.611 sec,779.613 sec,2.002 sec
208,46730,46767,779.613 sec,780.230 sec,0.617 sec
209,46767,46817,780.230 sec,781.064 sec,0.834 sec
210,46817,46962,781.064 sec,783.483 sec,2.419 sec
211,46962,47025,783.483 sec,784.535 sec,1.051 sec
212,47025,47052,784.535 sec,784.985 sec,0.450 sec
213,47052,47105,784.985 sec,785.869 sec,0.884 sec
214,47105,47142,785.869 sec,786.486 sec,0.617 sec
215,47142,47465,786.486 sec,791.875 sec,5.389 sec
216,47465,47547,791.875 sec,793.243 sec,1.368 sec
217,47547,47590,793.243 sec,793.961 sec,0.717 sec
218,47590,47660,793.961 sec,795.128 sec,1.168 sec
219,47660,47690,795.128 sec,795.629 sec,0.501 sec
220,47690,47757,795.629 sec,796.747 sec,1.118 sec
221,47757,47792,796.747 sec,797.331 sec,0.584 sec
222,47792,48187,797.331 sec,803.921 sec,6.590 sec
223,48187,48252,803.921 sec,805.005 sec,1.084 sec
224,48252,48320,805.005 sec,806.139 sec,1.134 sec
225,48320,48677,806.139 sec,812.095 sec,5.956 sec
226,48677,49195,812.095 sec,820.737 sec,8.642 sec
227,49195,49235,820.737 sec,821.405 sec,0.667 sec
228,49235,49360,821.405 sec,823.490 sec,2.085 sec
229,49360,49385,823.490 sec,823.907 sec,0.417 sec
230,49385,49707,823.907 sec,829.279 sec,5.372 sec
231,49707,49805,829.279 sec,830.914 sec,1.635 sec
232,49805,49995,830.914 sec,834.084 sec,3.170 sec
233,49995,50030,834.084 sec,834.668 sec,0.584 sec
234,50030,50102,834.668 sec,835.869 sec,1.201 sec
235,50102,50142,835.869 sec,836.537 sec,0.667 sec
236,50142,50197,836.537 sec,837.454 sec,0.918 sec
237,50197,50257,837.454 sec,838.455 sec,1.001 sec
238,50257,50310,838.455 sec,839.339 sec,0.884 sec
239,50310,50402,839.339 sec,840.874 sec,1.535 sec
240,50402,50457,840.874 sec,841.792 sec,0.918 sec
241,50457,50595,841.792 sec,844.094 sec,2.302 sec
242,50595,50827,844.094 sec,847.965 sec,3.871 sec
243,50827,50985,847.965 sec,850.601 sec,2.636 sec
244,50985,51055,850.601 sec,851.768 sec,1.168 sec
245,51055,51215,851.768 sec,854.438 sec,2.669 sec
246,51215,51497,854.438 sec,859.142 sec,4.705 sec
247,51497,51959,859.142 sec,866.850 sec,7.708 sec
248,51959,52152,866.850 sec,870.070 sec,3.220 sec
249,52152,52504,870.070 sec,875.943 sec,5.873 sec
250,52504,52617,875.943 sec,877.828 sec,1.885 sec
251,52617,52942,877.828 sec,883.250 sec,5.422 sec
252,52942,53024,883.250 sec,884.618 sec,1.368 sec
253,53024,53294,884.618 sec,889.122 sec,4.505 sec
254,53294,53409,889.122 sec,891.041 sec,1.919 sec
255,53409,53527,891.041 sec,893.010 sec,1.969 sec
256,53527,54009,893.010 sec,901.051 sec,8.041 sec
257,54009,54359,901.051 sec,906.890 sec,5.839 sec
258,54359,54477,906.890 sec,908.859 sec,1.969 sec
259,54477,60004,908.859 sec,1001.068 sec,92.209 sec
260,60004,60284,1001.068 sec,1005.739 sec,4.671 sec
261,60284,60496,1005.739 sec,1009.276 sec,3.537 sec
262,60496,60784,1009.276 sec,1014.081 sec,4.805 sec
263,60784,61049,1014.081 sec,1018.502 sec,4.421 sec
264,61049,61881,1018.502 sec,1032.382 sec,13.881 sec
265,61881,61901,1032.382 sec,1032.716 sec,0.334 sec
266,61901,61999,1032.716 sec,1034.351 sec,1.635 sec
267,61999,62064,1034.351 sec,1035.435 sec,1.084 sec
268,62064,62599,1035.435 sec,1044.361 sec,8.926 sec
269,62599,62939,1044.361 sec,1050.033 sec,5.672 sec
270,62939,62986,1050.033 sec,1050.817 sec,0.784 sec
271,62986,63019,1050.817 sec,1051.368 sec,0.551 sec
272,63019,63374,1051.368 sec,1057.291 sec,5.923 sec
273,63374,63526,1057.291 sec,1059.826 sec,2.536 sec
274,63526,63611,1059.826 sec,1061.245 sec,1.418 sec
275,63611,63839,1061.245 sec,1065.048 sec,3.804 sec
276,63839,63944,1065.048 sec,1066.800 sec,1.752 sec
277,63944,64341,1066.800 sec,1073.423 sec,6.623 sec
278,64341,64496,1073.423 sec,1076.009 sec,2.586 sec
279,64496,65289,1076.009 sec,1089.239 sec,13.230 sec
280,65289,66237,1089.239 sec,1105.055 sec,15.816 sec
281,66237,66537,1105.055 sec,1110.060 sec,5.005 sec
282,66537,67482,1110.060 sec,1125.826 sec,15.766 sec
283,67482,67615,1125.826 sec,1128.045 sec,2.219 sec
284,67615,67785,1128.045 sec,1130.881 sec,2.836 sec
285,67785,68042,1130.881 sec,1135.169 sec,4.288 sec
286,68042,68210,1135.169 sec,1137.971 sec,2.803 sec
287,68210,68282,1137.971 sec,1139.173 sec,1.201 sec
288,68282,68327,1139.173 sec,1139.923 sec,0.751 sec
289,68327,68365,1139.923 sec,1140.557 sec,0.634 sec
290,68365,68405,1140.557 sec,1141.225 sec,0.667 sec
291,68405,68445,1141.225 sec,1141.892 sec,0.667 sec
292,68445,68740,1141.892 sec,1146.813 sec,4.922 sec
293,68740,68805,1146.813 sec,1147.898 sec,1.084 sec
294,68805,68945,1147.898 sec,1150.234 sec,2.336 sec
295,68945,69155,1150.234 sec,1153.737 sec,3.504 sec
296,69155,69767,1153.737 sec,1163.947 sec,10.210 sec
297,69767,69937,1163.947 sec,1166.783 sec,2.836 sec
298,69937,70632,1166.783 sec,1178.378 sec,11.595 sec
299,70632,70872,1178.378 sec,1182.382 sec,4.004 sec
300,70872,70977,1182.382 sec,1184.134 sec,1.752 sec
301,70977,72577,1184.134 sec,1210.827 sec,26.693 sec
302,72577,72828,1210.827 sec,1215.015 sec,4.188 sec
303,72828,74555,1215.015 sec,1243.827 sec,28.812 sec
304,74555,74785,1243.827 sec,1247.664 sec,3.837 sec
305,74785,74978,1247.664 sec,1250.884 sec,3.220 sec
306,74978,75120,1250.884 sec,1253.253 sec,2.369 sec
307,75120,75303,1253.253 sec,1256.306 sec,3.053 sec
308,75303,75398,1256.306 sec,1257.891 sec,1.585 sec
309,75398,75465,1257.891 sec,1259.009 sec,1.118 sec
310,75465,75548,1259.009 sec,1260.394 sec,1.385 sec
311,75548,76415,1260.394 sec,1274.858 sec,14.464 sec
312,76415,77873,1274.858 sec,1299.183 sec,24.324 sec
313,77873,78028,1299.183 sec,1301.768 sec,2.586 sec
314,78028,78253,1301.768 sec,1305.522 sec,3.754 sec
315,78253,78360,1305.522 sec,1307.307 sec,1.785 sec
316,78360,78663,1307.307 sec,1312.362 sec,5.055 sec
317,78663,78753,1312.362 sec,1313.864 sec,1.502 sec
318,78753,79555,1313.864 sec,1327.244 sec,13.380 sec
319,79555,79708,1327.244 sec,1329.796 sec,2.553 sec
320,79708,80160,1329.796 sec,1337.337 sec,7.541 sec
321,80160,81536,1337.337 sec,1360.294 sec,22.956 sec
322,81536,81898,1360.294 sec,1366.333 sec,6.039 sec
323,81898,82010,1366.333 sec,1368.202 sec,1.869 sec
324,82010,82355,1368.202 sec,1373.957 sec,5.756 sec
325,82355,82458,1373.957 sec,1375.676 sec,1.718 sec
326,82458,82550,1375.676 sec,1377.211 sec,1.535 sec
327,82550,82763,1377.211 sec,1380.764 sec,3.554 sec
328,82763,84345,1380.764 sec,1407.157 sec,26.393 sec
329,84345,86315,1407.157 sec,1440.023 sec,32.866 sec
330,86315,86822,1440.023 sec,1448.482 sec,8.458 sec
331,86822,87080,1448.482 sec,1452.786 sec,4.304 sec
332,87080,87435,1452.786 sec,1458.709 sec,5.923 sec
333,87435,87542,1458.709 sec,1460.494 sec,1.785 sec
334,87542,87730,1460.494 sec,1463.630 sec,3.136 sec
335,87730,89445,1463.630 sec,1492.242 sec,28.612 sec
336,89445,89622,1492.242 sec,1495.195 sec,2.953 sec
337,89622,89962,1495.195 sec,1500.868 sec,5.672 sec
338,89962,90115,1500.868 sec,1503.420 sec,2.553 sec
339,90115,90222,1503.420 sec,1505.205 sec,1.785 sec
340,90222,90337,1505.205 sec,1507.124 sec,1.919 sec
341,90337,90602,1507.124 sec,1511.545 sec,4.421 sec
342,90602,90727,1511.545 sec,1513.630 sec,2.085 sec
343,90727,90910,1513.630 sec,1516.683 sec,3.053 sec
344,90910,91095,1516.683 sec,1519.770 sec,3.086 sec
345,91095,91205,1519.770 sec,1521.605 sec,1.835 sec
346,91205,91647,1521.605 sec,1528.979 sec,7.374 sec
347,91647,91737,1528.979 sec,1530.480 sec,1.502 sec
348,91737,91852,1530.480 sec,1532.399 sec,1.919 sec
349,91852,92007,1532.399 sec,1534.985 sec,2.586 sec
350,92007,92317,1534.985 sec,1540.157 sec,5.172 sec
351,92317,92687,1540.157 sec,1546.330 sec,6.173 sec
352,92687,92890,1546.330 sec,1549.716 sec,3.387 sec
353,92890,93215,1549.716 sec,1555.138 sec,5.422 sec
354,93215,93270,1555.138 sec,1556.056 sec,0.918 sec
355,93270,93370,1556.056 sec,1557.724 sec,1.668 sec
356,93370,93570,1557.724 sec,1561.061 sec,3.337 sec
357,93570,93942,1561.061 sec,1567.267 sec,6.206 sec
358,93942,94155,1567.267 sec,1570.821 sec,3.554 sec
359,94155,94267,1570.821 sec,1572.689 sec,1.869 sec
360,94267,94337,1572.689 sec,1573.857 sec,1.168 sec
361,94337,94447,1573.857 sec,1575.692 sec,1.835 sec
362,94447,94560,1575.692 sec,1577.578 sec,1.885 sec
363,94560,95817,1577.578 sec,1598.549 sec,20.971 sec
364,95817,95967,1598.549 sec,1601.051 sec,2.503 sec
365,95967,96217,1601.051 sec,1605.222 sec,4.171 sec
366,96217,96415,1605.222 sec,1608.525 sec,3.303 sec
367,96415,97110,1608.525 sec,1620.120 sec,11.595 sec
368,97110,97412,1620.120 sec,1625.158 sec,5.038 sec
369,97412,97525,1625.158 sec,1627.044 sec,1.885 sec
370,97525,97680,1627.044 sec,1629.630 sec,2.586 sec
371,97680,97772,1629.630 sec,1631.164 sec,1.535 sec
